K,Train_Err,Val_Err,Test_Err,Train_Acc,Val_Acc,Test_Acc,Test_AUC
1,0.0,0.31034482758620685,0.27586206896551724,1.0,0.6896551724137931,0.7241379310344828,0.6828947368421053
2,0.15298507462686572,0.3017241379310345,0.2931034482758621,0.8470149253731343,0.6982758620689655,0.7068965517241379,0.7023026315789473
3,0.13805970149253732,0.2844827586206896,0.27586206896551724,0.8619402985074627,0.7155172413793104,0.7241379310344828,0.7419407894736841
4,0.16417910447761197,0.31034482758620685,0.26724137931034486,0.835820895522388,0.6896551724137931,0.7327586206896551,0.7541118421052632
5,0.16791044776119401,0.2931034482758621,0.2586206896551724,0.832089552238806,0.7068965517241379,0.7413793103448276,0.7629934210526316
6,0.17350746268656714,0.31896551724137934,0.27586206896551724,0.8264925373134329,0.6810344827586207,0.7241379310344828,0.7593749999999999
7,0.16604477611940294,0.2844827586206896,0.24137931034482762,0.8339552238805971,0.7155172413793104,0.7586206896551724,0.7824013157894736
8,0.19216417910447758,0.2931034482758621,0.2586206896551724,0.8078358208955224,0.7068965517241379,0.7413793103448276,0.7804276315789475
9,0.1772388059701493,0.2931034482758621,0.24137931034482762,0.8227611940298507,0.7068965517241379,0.7586206896551724,0.7878289473684211
10,0.19029850746268662,0.2844827586206896,0.24137931034482762,0.8097014925373134,0.7155172413793104,0.7586206896551724,0.7980263157894738
11,0.18097014925373134,0.26724137931034486,0.25,0.8190298507462687,0.7327586206896551,0.75,0.7955592105263158
12,0.18656716417910446,0.25,0.24137931034482762,0.8134328358208955,0.75,0.7586206896551724,0.8100328947368421
13,0.18470149253731338,0.2586206896551724,0.2155172413793104,0.8152985074626866,0.7413793103448276,0.7844827586206896,0.8133223684210527
14,0.19962686567164178,0.2586206896551724,0.22413793103448276,0.8003731343283582,0.7413793103448276,0.7758620689655172,0.8156249999999999
15,0.2052238805970149,0.25,0.2155172413793104,0.7947761194029851,0.75,0.7844827586206896,0.8222039473684211
16,0.1977611940298507,0.2586206896551724,0.22413793103448276,0.8022388059701493,0.7413793103448276,0.7758620689655172,0.8169407894736841
17,0.20335820895522383,0.26724137931034486,0.2155172413793104,0.7966417910447762,0.7327586206896551,0.7844827586206896,0.8195723684210526
18,0.2126865671641791,0.27586206896551724,0.22413793103448276,0.7873134328358209,0.7241379310344828,0.7758620689655172,0.8195723684210526
19,0.20335820895522383,0.25,0.25,0.7966417910447762,0.75,0.75,0.8228618421052631
20,0.2052238805970149,0.23275862068965514,0.2155172413793104,0.7947761194029851,0.7672413793103449,0.7844827586206896,0.825328947368421
21,0.2052238805970149,0.25,0.22413793103448276,0.7947761194029851,0.75,0.7758620689655172,0.827796052631579
22,0.21641791044776115,0.25,0.22413793103448276,0.7835820895522388,0.75,0.7758620689655172,0.8245065789473685
23,0.20708955223880599,0.24137931034482762,0.2068965517241379,0.792910447761194,0.7586206896551724,0.7931034482758621,0.8297697368421053
24,0.21455223880597019,0.25,0.22413793103448276,0.7854477611940298,0.75,0.7758620689655172,0.8300986842105263
25,0.2126865671641791,0.25,0.22413793103448276,0.7873134328358209,0.75,0.7758620689655172,0.8276315789473685
26,0.21082089552238803,0.2155172413793104,0.23275862068965514,0.789179104477612,0.7844827586206896,0.7672413793103449,0.8268092105263158
27,0.21455223880597019,0.25,0.22413793103448276,0.7854477611940298,0.75,0.7758620689655172,0.8297697368421052
28,0.22201492537313428,0.23275862068965514,0.22413793103448276,0.7779850746268657,0.7672413793103449,0.7758620689655172,0.830592105263158
29,0.2201492537313433,0.25,0.2155172413793104,0.7798507462686567,0.75,0.7844827586206896,0.8297697368421053
30,0.22947761194029848,0.25,0.23275862068965514,0.7705223880597015,0.75,0.7672413793103449,0.8245065789473685
31,0.22201492537313428,0.25,0.2155172413793104,0.7779850746268657,0.75,0.7844827586206896,0.8231907894736842
32,0.23134328358208955,0.26724137931034486,0.22413793103448276,0.7686567164179104,0.7327586206896551,0.7758620689655172,0.8164473684210526
33,0.22574626865671643,0.2586206896551724,0.23275862068965514,0.7742537313432836,0.7413793103448276,0.7672413793103449,0.8148026315789474
34,0.23320895522388063,0.24137931034482762,0.25,0.7667910447761194,0.7586206896551724,0.75,0.810032894736842
35,0.23134328358208955,0.23275862068965514,0.22413793103448276,0.7686567164179104,0.7672413793103449,0.7758620689655172,0.818421052631579
36,0.23694029850746268,0.23275862068965514,0.24137931034482762,0.7630597014925373,0.7672413793103449,0.7586206896551724,0.8125
37,0.23694029850746268,0.24137931034482762,0.24137931034482762,0.7630597014925373,0.7586206896551724,0.7586206896551724,0.8128289473684212
38,0.23134328358208955,0.24137931034482762,0.25,0.7686567164179104,0.7586206896551724,0.75,0.812828947368421
39,0.23694029850746268,0.25,0.2586206896551724,0.7630597014925373,0.75,0.7413793103448276,0.8105263157894738
40,0.2350746268656716,0.22413793103448276,0.25,0.7649253731343284,0.7758620689655172,0.75,0.8141447368421053
41,0.2425373134328358,0.23275862068965514,0.25,0.7574626865671642,0.7672413793103449,0.75,0.8139802631578947
42,0.24067164179104472,0.22413793103448276,0.24137931034482762,0.7593283582089553,0.7758620689655172,0.7586206896551724,0.8139802631578947
43,0.23880597014925375,0.23275862068965514,0.25,0.7611940298507462,0.7672413793103449,0.75,0.815953947368421
44,0.24626865671641796,0.22413793103448276,0.24137931034482762,0.753731343283582,0.7758620689655172,0.7586206896551724,0.8179276315789474
45,0.2425373134328358,0.22413793103448276,0.24137931034482762,0.7574626865671642,0.7758620689655172,0.7586206896551724,0.8152960526315789
46,0.25,0.22413793103448276,0.22413793103448276,0.75,0.7758620689655172,0.7758620689655172,0.818421052631579
47,0.24813432835820892,0.23275862068965514,0.22413793103448276,0.7518656716417911,0.7672413793103449,0.7758620689655172,0.8171052631578947
48,0.25,0.23275862068965514,0.24137931034482762,0.75,0.7672413793103449,0.7586206896551724,0.819078947368421
49,0.24813432835820892,0.23275862068965514,0.24137931034482762,0.7518656716417911,0.7672413793103449,0.7586206896551724,0.8185855263157895
50,0.24813432835820892,0.23275862068965514,0.24137931034482762,0.7518656716417911,0.7672413793103449,0.7586206896551724,0.8194078947368421
